Helaman 9,41
Helaman 10,19
Helaman 11,38
Helaman 12,26
Helaman 13,39
Helaman 14,31
Helaman 15,17
Helaman 16,25
3 Nephi 1,30
3 Nephi 2,19
3 Nephi 3,26
3 Nephi 4,33
3 Nephi 5,26
3 Nephi 6,30
3 Nephi 7,26
3 Nephi 8,25
3 Nephi 9,22
3 Nephi 10,19
3 Nephi 11,41
3 Nephi 12,48
3 Nephi 13,34
3 Nephi 14,27
3 Nephi 15,24
3 Nephi 16,20
3 Nephi 17,25
3 Nephi 18,39
3 Nephi 19,36
3 Nephi 20,46
3 Nephi 21,29
3 Nephi 22,17
3 Nephi 23,14
3 Nephi 24,18
3 Nephi 25,6
3 Nephi 26,21
3 Nephi 27,33
3 Nephi 28,40
3 Nephi 29,9
3 Nephi 30,2
4 Nephi 1,49
Mormon 1,19
Mormon 2,29
Mormon 3,22
Mormon 4,23
Mormon 5,24
Mormon 6,22
Mormon 7,10
Mormon 8,41
Mormon 9,37
Ether 1,43
Ether 2,25
Ether 3,28
Ether 4,19
Ether 5,6
Ether 6,30
Ether 7,27
Ether 8,26
Ether 9,35
Ether 10,34
Ether 11,23
Ether 12,41
Ether 13,31
Ether 14,31
Ether 15,34
Moroni 1,4
Moroni 2,3
Moroni 3,4
Moroni 4,3
Moroni 5,2
Moroni 6,9
Moroni 7,48
Moroni 8,30
Moroni 9,26
Moroni 10,34
Moses 1,42
Moses 2,31
Moses 3,25
Moses 4,32
Moses 5,59
Moses 6,68
Moses 7,69
Moses 8,30
Abraham 1,31
Abraham 2,25
Abraham 3,28
Abraham 4,31
Abraham 5,21
Joseph Smith--Matthew 1,55
Joseph Smith--History 1,87
Articles of Faith 1,14
Genesis 1,31
Genesis 2,25
Genesis 3,24
Genesis 4,26
Genesis 5,32
Genesis 6,22
Genesis 7,24
Genesis 8,22
Genesis 9,29
Genesis 10,32
Genesis 11,32
Genesis 12,20
Genesis 13,18
Genesis 14,24
Genesis 15,21
Genesis 16,16
Genesis 17,27
Genesis 18,33
Genesis 19,38
Genesis 20,18
Genesis 21,34
Genesis 22,24
Genesis 23,20
Genesis 24,67
Genesis 25,34
Genesis 26,35
Genesis 27,46
Genesis 28,22
Genesis 29,35
Genesis 30,43
Genesis 31,55
Genesis 32,32
Genesis 33,20
Genesis 34,31
Genesis 35,29
Genesis 36,43
Genesis 37,36
Genesis 38,30
Genesis 39,23
Genesis 40,23
Genesis 41,57
Genesis 42,38
Genesis 43,34
Genesis 44,34
Genesis 45,28
Genesis 46,34
Genesis 47,31
Genesis 48,22
Genesis 49,33
Genesis 50,26
Exodus 1,22
Exodus 2,25
Exodus 3,22
Exodus 4,31
Exodus 5,23
Exodus 6,30
Exodus 7,25
Exodus 8,32
Exodus 9,35
Exodus 10,29
Exodus 11,10
Exodus 12,51
Exodus 13,22
Exodus 14,31
Exodus 15,27
Exodus 16,36
Exodus 17,16
Exodus 18,27
Exodus 19,25
Exodus 20,26
Exodus 21,36
Exodus 22,31
Exodus 23,33
Exodus 24,18
Exodus 25,40
Exodus 26,37
Exodus 27,21
Exodus 28,43
Exodus 29,46
Exodus 30,38
Exodus 31,18
Exodus 32,35
Exodus 33,23
Exodus 34,35
Exodus 35,35
Exodus 36,38
Exodus 37,29
Exodus 38,31
Exodus 39,43
Exodus 40,38
Leviticus 1,17
Leviticus 2,16
Leviticus 3,17
Leviticus 4,35
Leviticus 5,19
Leviticus 6,30
Leviticus 7,38
Leviticus 8,36
Leviticus 9,24
Leviticus 10,20
Leviticus 11,47
Leviticus 12,8
Leviticus 13,59
Leviticus 14,57
Leviticus 15,33
Leviticus 16,34
Leviticus 17,16
Leviticus 18,30
Leviticus 19,37
Leviticus 20,27
Leviticus 21,24
Leviticus 22,33
Leviticus 23,44
Leviticus 24,23
Leviticus 25,55
Leviticus 26,46
Leviticus 27,34
Numbers 1,54
Numbers 2,34
Numbers 3,51
Numbers 4,49
Numbers 5,31
Numbers 6,27
Numbers 7,89
Numbers 8,26
Numbers 9,23
Numbers 10,36
Numbers 11,35
Numbers 12,16
Numbers 13,33
Numbers 14,45
Numbers 15,41
Numbers 16,50
Numbers 17,13
Numbers 18,32
Numbers 19,22
Numbers 20,29
Numbers 21,35
Numbers 22,41
Numbers 23,30
Numbers 24,25
Numbers 25,18
Numbers 26,65
Numbers 27,23
Numbers 28,31
Numbers 29,40
Numbers 30,16
Numbers 31,54
Numbers 32,42
Numbers 33,56
Numbers 34,29
Numbers 35,34
Numbers 36,13
Deuteronomy 1,46
Deuteronomy 2,37
Deuteronomy 3,29
Deuteronomy 4,49
Deuteronomy 5,33
Deuteronomy 6,25
Deuteronomy 7,26
Deuteronomy 8,20
Deuteronomy 9,29
Deuteronomy 10,22
Deuteronomy 11,32
Deuteronomy 12,32
Deuteronomy 13,18
Deuteronomy 14,29
Deuteronomy 15,23
Deuteronomy 16,22
Deuteronomy 17,20
Deuteronomy 18,22
Deuteronomy 19,21
Deuteronomy 20,20
Deuteronomy 21,23
Deuteronomy 22,30
Deuteronomy 23,25
Deuteronomy 24,22
Deuteronomy 25,19
Deuteronomy 26,19
Deuteronomy 27,26
Deuteronomy 28,68
Deuteronomy 29,29
Deuteronomy 30,20
Deuteronomy 31,30
Deuteronomy 32,52
Deuteronomy 33,29
Deuteronomy 34,12
Joshua 1,18
Joshua 2,24
Joshua 3,17
Joshua 4,24
Joshua 5,15
Joshua 6,27
Joshua 7,26
Joshua 8,35
Joshua 9,27
Joshua 10,43
Joshua 11,23
Joshua 12,24
Joshua 13,33
Joshua 14,15
Joshua 15,63
Joshua 16,10
Joshua 17,18
Joshua 18,28
Joshua 19,51
Joshua 20,9
Joshua 21,45
Joshua 22,34
Joshua 23,16
Joshua 24,33
Judges 1,36
Judges 2,23
Judges 3,31
Judges 4,24
Judges 5,31
Judges 6,40
Judges 7,25
Judges 8,35
Judges 9,57
Judges 10,18
Judges 11,40
Judges 12,15
Judges 13,25
Judges 14,20
Judges 15,20
Judges 16,31
Judges 17,13
Judges 18,31
